Unnamed: 0,Tweets,ID,Sentiment
0,I would like to see @mnsadhikrut and @BJP4Maharashtra together for better future of my Maharashtra. @RajThackeray w… https://t.co/Ph4sMl9PQe,1339158268791324677,1
1,RT @narendramodi: Best wishes to former Karnataka Chief Minister Shri @hd_kumaraswamy Ji on his birthday. May Almighty bless him with a lon…,1339158266018897922,1
2,"RT @satyakumar_y: Thanks to PM @NarendraModi Ji, the govt has approved a policy to subsidise sugar exports.
 
This would make farmers Aatma…",1339158265414909955,1
4,"RT @CMOGuj: During his visit to Kutch, PM Shri @narendramodi, accompanied by CM Shri @vijayrupanibjp, met and interacted with various local…",1339158264274022400,0
5,"RT @BJP4Manipur: It will help in making Sugar Sector Aatmanirbhar &amp; increase income of sugarcane farmers. #GovtWithGannaKisan

Thanks to PM…",1339158258506891264,1
6,RT @narendramodi: Historic PM-WANI (Wi-Fi Access Network Interface) scheme that has been cleared by the Cabinet today will revolutionise th…,1339158257231831042,0
7,@ShobhaBJP @BJP4Keralam @BJP4India @ShefVaidya @ARanganathan72 @narendramodi @AmitShah @JPNadda @davidfrawleyved… https://t.co/k9gY72DM6Y,1339158250067922946,0
8,RT @narendramodi: The scheme would enable our small shopkeepers to provide WiFi  service. This will boost incomes as well as ensure our you…,1339158238445543425,-1
9,"RT @AIRAAAOFFICIAL: 👉We r double skilled.
👉We have cleared both ITI &amp; AITT exams.
👉We r more efficient than group D employees.
👉So scrap 20…",1339158238101610497,1
10,"RT @InfoGujarat: The Hybrid Renewable Energy Park, a unique multi-beneficial project, will bring transformation in Kutch region : PM Shri @…",1339158235127812096,1
11,RT @narendramodi: Speaking at the Foundation Stone Laying Ceremony of development projects in Kutch. https://t.co/1LwsxK9GB5,1339158231986262016,0
12,RT @narendramodi: On Vijay Diwas we recall the unwavering courage of our armed forces that resulted in a decisive victory for our nation in…,1339158231365513216,0
13,RT @iAsura_: Probably we'll get to know the true worth of @narendramodi once he is gone!! They way he is tirelessly working towards the cau…,1339158227817177089,1
14,@stunningshubha1 @hridaya244 @SudhanshuSME @sanjayjavin Govt has done good work by banning Liqour in state. Even if… https://t.co/wSb9w4g5ty,1339158219902447617,1
16,"RT @Adharma_dharma: @PulakitWakodeCT @TVMohandasPai @rsprasad @TheJaggi @noorainee @narendramodi https://t.co/nqT9tc7NL3

More empowerment…",1339158215309717504,1
18,RT @drsmtweets: #CabinetDecisions PM @narendramodi ji led govt decided to put money of subsidy into farmers bank accounts which will benefi…,1339158212046508034,0
19,"Thanks to PM @NarendraModi ji for introducing policy to subsidise sugar exports. Under this policy, ₹3,500 crores w… https://t.co/CU5qh9y55R",1339158209441886208,1
21,RT @BJP4India: PM Shri @narendramodi launches Swarnim Vijay Varsh celebrations. https://t.co/OlSV3PzsP3,1339158203473383424,0
22,"RT @DominicRaab: The UK is committed to building a closer relationship with India. 

I met @narendramodi today to discuss our joint vision,…",1339158200260628483,0
23,"RT @BhavikaGhoghari: On Vijay Diwas, PM Shri @narendramodi lights up ‘Swarnim Vijay Mashaal’ at National War Memorial #VijayDivas
#VijayDiw…",1339158194438905858,0
24,"RT @Adharma_dharma: @TVMohandasPai @rsprasad @TheJaggi @noorainee @narendramodi 3 cheers to SC
For encouraging Hindus divorces, separation…",1339158189523144704,0
26,@narendramodi @DominicRaab @FCDOGovUK @BorisJohnson Help me sir please my no 9045189015 https://t.co/BcgCGn3rCI,1339158181679919106,0
27,RT @mpvadodara: Thanks to Honourable PM @NarendraModi ji for introducing policy to subsidise sugar exports. This policy will greatly benefi…,1339158177657458688,1
28,"RT @OfficialArnabFC: STOP TARGETING REPUBLIC MEDIA MEMBERS..!!

@narendramodi ji please intervene.

#Justice4Republic",1339158177238056960,0
29,"RT @narendramodi: Excellent meeting with @DominicRaab, UK Secretary of State of @FCDOGovUK. Discussed the vast potential of the India-UK pa…",1339158173727432704,1
32,RT @RMCpost: There are cases like deportation of Rohingyas or Black money in which the SC is grandly sleeping... Why isnt @NarendraModi giv…,1339158149383634944,1
33,RT @narendramodi: Shri Roddam Narasimha personified the best of India’s tradition of knowledge and enquiry. He was an outstanding scientist…,1339158145361317888,1
34,RT @mygovindia: Thanks to PM @NarendraModi Ji for introducing a policy to subsidise sugar exports. This would encourage farmers to cultivat…,1339158139925536768,1
35,RT @mansukhmandviya: Watch Live 🎥 PM Shri @NarendraModi ji speaking at the Foundation Stone Laying Ceremony of development projects in Kutc…,1339158139812204544,1
36,"@narendramodi @PMOIndia 
@AmitShah @AmitShahOffice 
@narendramodi_in 
Breaking News! BJP double standard exposed in… https://t.co/Sv3ecoZn7t",1339158138826665984,0
37,"Thanks to PM @NarendraModi ji for introducing policy to subsidise sugar exports. Under this policy, ₹3,500 crores w… https://t.co/tDcl0oURaR",1339158137463443456,1
41,RT @SpokespersonMoD: The #SwarnimVijayVarsh celebrations commenced with the lighting of the #SwarnimVijayMashal at #NWM by the Hon’ble Prim…,1339158125312557056,0
43,@sarvesh1975 @goyalsanjeev @RMCpost @narendramodi True. With hindsight anybody can be an armchair Field Marshal or a gyani,1339158117175545856,1
46,@DrRPNishank @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @mygovindia @EduMinOfIndia @PIB_India… https://t.co/GRWMXhx7ED,1339158113220349952,0
48,"RT @CRPaatil: PM Shri @narendramodi Sir lays the foundation stone for new Parliament building in New Delhi. #NewParliament4NewIndia 

https…",1339158089258319872,1
49,@lalita_dhotre @barandbench @MumbaiPolice @republic @AmitShah @narendramodi @court_india @BJP4India @PMOIndia… https://t.co/2gecrQKhSC,1339158082996211713,0
50,RT @IamAjaySehrawat: Thanks to PM @NarendraModi ji for introducing policy to subsidise sugar exports. It will greatly benefit sugarcane far…,1339158080991285248,1
53,@siddaramaiah @BJP4Karnataka @narendramodi Congress should shut the shop. It's party of goondas. If BJP had done wr… https://t.co/weca5aHML2,1339158074003623938,0
55,@DominicRaab @narendramodi My quick observation shared with Indian media yesterday. https://t.co/Ml8ZS5ZPy6,1339158064579096576,1
57,@SushantBSinha @narendramodi Oh my god we never had this information,1339158058824388608,0
59,"Thanks to PM @NarendraModi ji for introducing policy to subsidise sugar exports. Under this policy, ₹3,500 crores w… https://t.co/xuKKDRXOCQ",1339158056274280451,1
60,RT @narendramodi: We will never forget the cowardly attack on our Parliament on this day in 2001. We recall the valour and sacrifice of tho…,1339158047936061440,0
61,"RT @mehak_tiwarii: Students at #amity asked to pay the full fees ,is it fair not to refund or adjust the amount we paid in previous semeste…",1339158033335644160,1
62,"@narendramodi @BJP4India @AmitShah failed on economy... price level of everything increasing day by day...
Petrol-… https://t.co/pMuE18NuPW",1339158032115240962,-1
63,"RT @DrRutvij: “Swarnim Vijay Varsh”

Hon’ble PM Shri @narendramodi ji lights up 'Swarnim Vijay Mashaal' from the eternal flame of National…",1339158028440891396,0
65,RT @75_jee: @DrRPNishank @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @mygovindia @EduMinOfIndia @PIB_India @MIB_India @DDNe…,1339158011961491461,0
